week,date,app,region,module,track,radar_type,category,signal,why_it_matters,tiktok_lite_implication,priority,source_url,screenshot_path,status
2026-W24,2026-06-11,Setlog,South Korea,emerging_creation,creation,emerging,auto vlog,Friends record tiny daily clips and the app auto-stitches them into a day-in-the-life vlog.,"Shows low-pressure creation, friend co-creation, and authentic daily-life content behavior.",Watch for lightweight auto-vlog and friend co-creation ideas that could lower creation friction in Lite markets.,medium,https://play.google.com/store/apps/details?id=com.newchat.setlog,assets/screenshots/2026-W24/setlog-play-store.png,needs_review
2026-W24,2026-06-11,Setlog,South Korea,emerging_consumption,consumption,emerging,friend feed,The product creates a private daily-life viewing loop among small friend groups.,Could shift young users' casual viewing time from public feeds to friend-based daily logs.,Observe whether private-circle consumption can complement public For You consumption.,medium,https://www.scmp.com/lifestyle/entertainment/article/3350142/what-setlog-app-trending-hong-kong-and-south-korea,assets/screenshots/2026-W24/setlog-news.png,needs_review
2026-W24-DEMO,2026-06-11,Snapchat,United States,fixed_creation,creation,fixed,camera and AR,"Camera-first creation remains centered on lenses, AR effects, and fast sharing into Stories or Spotlight.",Snapchat is still a strong benchmark for low-friction camera creation and playful visual expression.,"Compare TikTok Lite's camera entry, effect discovery, and publish friction against Snapchat-style fast capture.",high,https://www.snap.com/en-US,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,Snapchat,United States,fixed_consumption,consumption,fixed,stories and spotlight,"Stories, Spotlight, and Discover create multiple consumption modes beyond a single public feed.",Shows how friend-led and editorial/video surfaces can coexist with algorithmic short video consumption.,Track whether Lite should emphasize friend/social consumption surfaces differently from pure For You viewing.,medium,https://www.snap.com/en-US,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,Facebook,Global,fixed_consumption,consumption,fixed,reels groups watch,"Facebook combines Reels, Watch, Groups, and social graph distribution for video consumption.",Important because Facebook competes for casual video time through older social graph and group contexts.,Watch group-based video distribution and lightweight repost/share loops that may fit Lite markets.,medium,https://www.facebook.com/watch,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,X,United States,fixed_consumption,consumption,fixed,video for you,"X is pushing video consumption inside For You, creator posts, and real-time discussion loops.",X matters less as a short-video clone and more as a real-time video plus conversation surface.,Monitor whether news/event-led video consumption creates repeat use cases outside entertainment browsing.,medium,https://x.com,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,Douyin,China,fixed_creation,creation,fixed,templates ai effects,"Douyin remains the mature benchmark for templates, effects, co-creation, and trend participation.",It often shows advanced creation mechanics before they are adapted elsewhere in the ByteDance ecosystem.,"Use Douyin as the high-ceiling reference for creation tools, but filter for Lite feasibility and market fit.",high,https://www.douyin.com,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,Douyin Lite,China,fixed_consumption,consumption,fixed,rewarded viewing,"Douyin Lite-style rewarded viewing, check-ins, and task loops are direct references for lightweight retention.",Rewarded consumption is highly relevant to Lite user motivation and return behavior.,Track which reward mechanics drive retention without degrading content quality or long-term trust.,high,https://www.douyin.com,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,Xiaohongshu,China,fixed_creation,creation,fixed,image text video notes,"Xiaohongshu lowers creation pressure through image-text notes, covers, tags, and searchable lifestyle posts.","It is a benchmark for authentic, useful, and searchable user-generated content rather than pure performance video.",Consider whether Lite creation can support lighter formats or prompts that reduce the burden of making videos.,high,https://www.xiaohongshu.com,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,Xiaohongshu,China,fixed_consumption,consumption,fixed,search led content,"Xiaohongshu consumption often starts from search, recommendation, and collection rather than passive feed only.",This is important because search-led content can create high-intent sessions and stronger saves/collections.,"Watch search, collection, and practical content loops as complements to short-video entertainment browsing.",high,https://www.xiaohongshu.com,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,CapCut,Global,fixed_creation,creation,fixed,template editing,"CapCut owns a large part of mobile video creation through templates, effects, subtitles, and export flows.",Creation tools can capture intent before users choose which platform to publish on.,Monitor which CapCut creation mechanics should be native in Lite versus left to external tooling.,high,https://www.capcut.com,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,Instagram Edits,United States,fixed_creation,creation,fixed,creator editing app,Instagram Edits represents Meta's attempt to own the mobile creator workflow outside the core Instagram app.,A standalone creator app can shift the creation entry point away from the consumption app.,Track whether separate creation utilities increase creator output or mainly serve power users.,medium,https://www.instagram.com/edits,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,YouTube Shorts,Global,fixed_consumption,consumption,fixed,shorts longform bridge,"YouTube Shorts benefits from a bridge between short-video discovery, creator channels, and long-form viewing.",This makes consumption sessions flexible: snackable video can lead into deeper creator or topic consumption.,Watch whether Lite can create bridges from short sessions into repeat creator or topic affinity.,medium,https://www.youtube.com/shorts,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,ReelShort,United States,emerging_consumption,consumption,emerging,short drama,Short drama apps package serialized stories into high-retention vertical video episodes.,"This competes for the same lean-back mobile entertainment time as short video, especially in evening sessions.","Track whether short-drama mechanics such as cliffhangers, episode queues, and paid/free unlocks affect Lite consumption ideas.",medium,https://www.reelshort.com,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,Character.AI,United States,emerging_consumption,consumption,emerging,ai companion,AI companion products create personalized interactive consumption rather than passive feed browsing.,"They compete for attention through conversation loops, emotional attachment, and role-based scenarios.",Monitor whether AI companion behavior is pulling Gen Z time away from social/content feeds.,medium,https://character.ai,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,Whee,Japan,emerging_creation,creation,emerging,close-friends social content,"Whee is a TikTok-adjacent social app for closer connections and everyday sharing through chats, stories, and shared moments.",It is relevant because it explores whether short-video platforms need companion social/content apps for private sharing and lightweight posting.,Watch whether close-friends creation and everyday content sharing can reduce the pressure of public short-video posting in Lite markets.,high,https://apps.apple.com/my/app/whee-tiktok-chat/id6484505984,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,noplace,United States,emerging_consumption,consumption,emerging,gen-z social feed,"noplace is a Gen Z social app built around profiles, status-style posts, interests, and a social feed rather than polished creator video.","It matters because it competes for social/content attention through identity expression and community discovery, not only media consumption.",Track whether identity-led social feeds pull young users away from passive video sessions or become complementary discovery surfaces.,medium,https://apps.apple.com/us/app/noplace-make-new-friends/id6478601246,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W24-DEMO,2026-06-11,ten ten,France,emerging_consumption,consumption,emerging,instant voice social,"ten ten is a viral walkie-talkie style social app where friends can speak live to each other, even around locked-screen contexts.",It matters because it captures spontaneous friend interaction time that could otherwise go to short-video browsing or social feeds.,"Track real-time friend interaction apps as attention competitors, especially when TikTok or other social platforms amplify them.",medium,https://play.google.com/store/apps/details?id=com.tenten.app,assets/screenshots/2026-W24/2026-w24-us-social.png,demo
2026-W25,2026-06-16,Instagram Edits,United States,fixed_creation,creation,fixed,AI assistant desktop creator workflow,Meta's Edits app is getting an AI assistant and a desktop version.,"This is a clear creator-tool upgrade: Meta is building an independent creator workflow around mobile editing, AI ideation, performance insight, and desktop production.","Watch which AI-assisted creation utilities are lightweight enough for TikTok Lite, such as idea prompts, auto captions, title suggestions, template recommendations, and trending-audio prompts.",high,https://techcrunch.com/2026/06/11/metas-edits-app-is-getting-an-ai-assistant-and-a-desktop-version/,assets/screenshots/2026-W25/signals-instagram-edits-united-states-ai-assistant-desktop-creator-workflow.png,trial
